channelId,portId,channelName,channelLength,channelWidth,channelDepth,channelDepthAtChartDatum,oneWayOrTwoWay,maxVesselLOA,maxVesselBeam,maxVesselDraft,trafficSeparationScheme,speedLimit,tidalWindowRequired,pilotageCompulsory,tugEscortRequired,dayNightRestrictions,visibilityMinimum,windSpeedLimit,currentSpeedLimit,channelSegments,anchorageAreaId
11,3,Port of Shenzhen Main Approach Channel,16553,505,23.7,22.6,One-Way,394,55,22.2,TRUE,14,TRUE,TRUE,TRUE,None,500,40,2.1,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 4627, ""width"": 535, ""depth"": 23.5, ""bearing"": 328}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 4186, ""width"": 485, ""depth"": 23.6, ""bearing"": 275}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 2971, ""width"": 492, ""depth"": 24.0, ""bearing"": 184}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 1894, ""width"": 514, ""depth"": 23.7, ""bearing"": 270}, {""segmentId"": 5, ""segmentName"": ""Segment 5"", ""length"": 2875, ""width"": 477, ""depth"": 24.0, ""bearing"": 355}]",11
12,3,Port of Shenzhen Inner Navigation Channel,7704,262,15,13.7,One-Way,341,52,13.5,TRUE,12,TRUE,TRUE,FALSE,24/7 Operations,1000,30,3.9,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 2112, ""width"": 284, ""depth"": 14.8, ""bearing"": 59}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 5592, ""width"": 288, ""depth"": 15.3, ""bearing"": 144}]",12
13,3,Port of Shenzhen Basin Access Channel,2224,210,14.1,13,One-Way,250,49,12.6,FALSE,10,FALSE,TRUE,TRUE,Daylight Hours Preferred,750,35,3.7,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 444, ""width"": 195, ""depth"": 14.5, ""bearing"": 303}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 1780, ""width"": 205, ""depth"": 14.6, ""bearing"": 121}]",13
14,3,Port of Shenzhen Terminal Access Fairway,304,88,14.6,13.6,One-Way,317,48,13.1,FALSE,6,FALSE,TRUE,FALSE,Daylight Hours Preferred,1000,30,2.2,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 101, ""width"": 117, ""depth"": 14.5, ""bearing"": 249}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 56, ""width"": 85, ""depth"": 14.8, ""bearing"": 111}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 54, ""width"": 86, ""depth"": 14.4, ""bearing"": 148}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 93, ""width"": 97, ""depth"": 14.4, ""bearing"": 82}]",14
15,4,Ningbo-Zhoushan Port Main Approach Channel,15566,297,17.4,16.2,One-Way,361,63,15.9,TRUE,12,FALSE,TRUE,TRUE,Night Transit with Enhanced Pilotage,1500,45,3.7,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 2498, ""width"": 272, ""depth"": 17.1, ""bearing"": 108}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 4266, ""width"": 312, ""depth"": 17.8, ""bearing"": 259}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 1548, ""width"": 323, ""depth"": 17.6, ""bearing"": 150}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 7254, ""width"": 281, ""depth"": 17.4, ""bearing"": 276}]",15
16,4,Ningbo-Zhoushan Port Inner Navigation Channel,3729,267,16.8,15.5,Two-Way,311,53,15.3,TRUE,10,FALSE,TRUE,TRUE,Daylight Hours Preferred,750,30,3.6,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 1177, ""width"": 248, ""depth"": 16.5, ""bearing"": 5}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 992, ""width"": 249, ""depth"": 17.0, ""bearing"": 110}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 1560, ""width"": 282, ""depth"": 17.1, ""bearing"": 99}]",16
17,4,Ningbo-Zhoushan Port Basin Access Channel,847,119,12.8,12.1,One-Way,254,43,11.3,TRUE,8,FALSE,TRUE,TRUE,None,1000,30,2.6,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 200, ""width"": 147, ""depth"": 12.5, ""bearing"": 170}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 103, ""width"": 111, ""depth"": 12.9, ""bearing"": 12}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 181, ""width"": 128, ""depth"": 13.1, ""bearing"": 115}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 363, ""width"": 130, ""depth"": 13.2, ""bearing"": 139}]",17
18,4,Ningbo-Zhoushan Port Terminal Access Fairway,730,109,11.1,9.8,One-Way,269,41,9.6,FALSE,6,TRUE,TRUE,TRUE,None,750,40,4,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 233, ""width"": 137, ""depth"": 11.4, ""bearing"": 97}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 162, ""width"": 108, ""depth"": 11.0, ""bearing"": 31}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 69, ""width"": 117, ""depth"": 11.4, ""bearing"": 300}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 81, ""width"": 124, ""depth"": 11.1, ""bearing"": 83}, {""segmentId"": 5, ""segmentName"": ""Segment 5"", ""length"": 185, ""width"": 114, ""depth"": 10.9, ""bearing"": 75}]",18
19,5,Port of Qingdao Main Approach Channel,10730,301,14.3,13.7,Two-Way,383,64,12.8,TRUE,12,TRUE,TRUE,TRUE,24/7 Operations,1000,45,3.9,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 2743, ""width"": 311, ""depth"": 14.8, ""bearing"": 90}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 2461, ""width"": 308, ""depth"": 14.3, ""bearing"": 356}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 2084, ""width"": 293, ""depth"": 14.6, ""bearing"": 295}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 3442, ""width"": 271, ""depth"": 14.5, ""bearing"": 225}]",19
20,5,Port of Qingdao Inner Navigation Channel,5109,310,16.9,16,One-Way,303,51,15.4,TRUE,12,TRUE,TRUE,TRUE,None,1000,45,2.3,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 1619, ""width"": 320, ""depth"": 16.7, ""bearing"": 123}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 3490, ""width"": 319, ""depth"": 16.9, ""bearing"": 140}]",20
21,5,Port of Qingdao Basin Access Channel,1948,165,14.4,13.7,One-Way,308,48,12.9,FALSE,10,TRUE,TRUE,FALSE,None,750,40,3.6,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 735, ""width"": 144, ""depth"": 14.4, ""bearing"": 316}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 359, ""width"": 154, ""depth"": 14.4, ""bearing"": 291}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 854, ""width"": 182, ""depth"": 14.5, ""bearing"": 233}]",21
22,5,Port of Qingdao Terminal Access Fairway,929,174,13.8,12.8,One-Way,293,43,12.3,FALSE,6,TRUE,TRUE,FALSE,24/7 Operations,1000,35,3.5,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 281, ""width"": 147, ""depth"": 14.1, ""bearing"": 268}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 248, ""width"": 155, ""depth"": 13.8, ""bearing"": 184}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 400, ""width"": 150, ""depth"": 14.3, ""bearing"": 102}]",22
23,6,Port of Tianjin Main Approach Channel,21746,461,24.2,23.3,One-Way,381,59,22.7,TRUE,14,FALSE,TRUE,TRUE,Night Transit with Enhanced Pilotage,1500,45,3.9,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 6655, ""width"": 482, ""depth"": 24.5, ""bearing"": 211}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 4360, ""width"": 444, ""depth"": 24.3, ""bearing"": 207}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 10731, ""width"": 468, ""depth"": 24.6, ""bearing"": 152}]",23
24,6,Port of Tianjin Inner Navigation Channel,6101,179,12.8,11.5,One-Way,309,51,11.3,TRUE,8,FALSE,TRUE,FALSE,None,750,45,2,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 2219, ""width"": 177, ""depth"": 12.5, ""bearing"": 249}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 1263, ""width"": 183, ""depth"": 13.2, ""bearing"": 238}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 2619, ""width"": 170, ""depth"": 13.0, ""bearing"": 87}]",24
25,6,Port of Tianjin Basin Access Channel,2002,115,13,11.6,One-Way,291,42,11.5,FALSE,8,FALSE,TRUE,FALSE,None,750,40,2.1,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 754, ""width"": 111, ""depth"": 13.1, ""bearing"": 142}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 400, ""width"": 128, ""depth"": 12.5, ""bearing"": 164}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 218, ""width"": 136, ""depth"": 12.6, ""bearing"": 226}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 195, ""width"": 139, ""depth"": 12.9, ""bearing"": 180}, {""segmentId"": 5, ""segmentName"": ""Segment 5"", ""length"": 435, ""width"": 108, ""depth"": 13.5, ""bearing"": 168}]",25
26,6,Port of Tianjin Terminal Access Fairway,1135,83,14,13.5,One-Way,266,44,12.5,FALSE,8,TRUE,TRUE,TRUE,24/7 Operations,750,30,2.8,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 270, ""width"": 98, ""depth"": 13.9, ""bearing"": 232}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 263, ""width"": 98, ""depth"": 14.1, ""bearing"": 29}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 602, ""width"": 81, ""depth"": 14.0, ""bearing"": 225}]",26
27,7,Port of Xiamen Main Approach Channel,24763,280,16.9,16.1,Two-Way,391,61,15.4,TRUE,14,FALSE,TRUE,TRUE,None,1500,30,3.1,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 9401, ""width"": 263, ""depth"": 17.2, ""bearing"": 359}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 5326, ""width"": 275, ""depth"": 16.7, ""bearing"": 206}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 1889, ""width"": 274, ""depth"": 16.9, ""bearing"": 311}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 8147, ""width"": 276, ""depth"": 17.1, ""bearing"": 332}]",27
28,7,Port of Xiamen Inner Navigation Channel,5492,260,16.9,16,Two-Way,360,48,15.4,TRUE,12,FALSE,TRUE,TRUE,24/7 Operations,500,30,3.3,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 1892, ""width"": 283, ""depth"": 16.9, ""bearing"": 213}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 3600, ""width"": 264, ""depth"": 16.6, ""bearing"": 7}]",28
29,7,Port of Xiamen Basin Access Channel,2619,146,12.8,11.5,Two-Way,275,47,11.3,TRUE,6,TRUE,TRUE,FALSE,Daylight Hours Preferred,750,30,2.8,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 1033, ""width"": 168, ""depth"": 13.0, ""bearing"": 95}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 280, ""width"": 123, ""depth"": 12.5, ""bearing"": 190}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 230, ""width"": 163, ""depth"": 13.0, ""bearing"": 122}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 1076, ""width"": 164, ""depth"": 12.7, ""bearing"": 8}]",29
30,7,Port of Xiamen Terminal Access Fairway,346,137,12.7,11.8,One-Way,291,50,11.2,FALSE,6,FALSE,TRUE,FALSE,24/7 Operations,1500,35,3.4,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 124, ""width"": 109, ""depth"": 12.6, ""bearing"": 186}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 68, ""width"": 120, ""depth"": 13.2, ""bearing"": 45}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 28, ""width"": 114, ""depth"": 12.3, ""bearing"": 56}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 126, ""width"": 129, ""depth"": 12.4, ""bearing"": 167}]",30
31,8,Port of Hong Kong Main Approach Channel,11497,564,15.2,14.1,Two-Way,360,61,13.7,TRUE,14,FALSE,TRUE,TRUE,24/7 Operations,750,35,2.7,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 4579, ""width"": 554, ""depth"": 15.2, ""bearing"": 303}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 6918, ""width"": 561, ""depth"": 15.5, ""bearing"": 35}]",31
32,8,Port of Hong Kong Inner Navigation Channel,2948,252,12.2,11.4,One-Way,348,49,10.7,FALSE,10,FALSE,TRUE,TRUE,None,1500,40,3.8,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 473, ""width"": 247, ""depth"": 12.6, ""bearing"": 126}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 431, ""width"": 242, ""depth"": 11.7, ""bearing"": 247}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 391, ""width"": 253, ""depth"": 11.8, ""bearing"": 289}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 656, ""width"": 278, ""depth"": 12.1, ""bearing"": 150}, {""segmentId"": 5, ""segmentName"": ""Segment 5"", ""length"": 997, ""width"": 266, ""depth"": 12.2, ""bearing"": 139}]",32
33,8,Port of Hong Kong Basin Access Channel,2785,151,12,11,One-Way,262,49,10.5,TRUE,6,TRUE,TRUE,TRUE,None,750,45,3.8,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 730, ""width"": 146, ""depth"": 12.3, ""bearing"": 200}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 2055, ""width"": 138, ""depth"": 11.9, ""bearing"": 269}]",33
34,8,Port of Hong Kong Terminal Access Fairway,1364,106,13.9,13.1,One-Way,297,44,12.4,TRUE,10,FALSE,TRUE,TRUE,None,500,40,2.9,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 477, ""width"": 86, ""depth"": 14.1, ""bearing"": 169}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 887, ""width"": 135, ""depth"": 14.2, ""bearing"": 236}]",34
35,9,Port of Busan Main Approach Channel,15543,521,24,22.6,Two-Way,391,63,22.5,TRUE,10,FALSE,TRUE,TRUE,Night Transit with Enhanced Pilotage,750,40,2.5,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 2606, ""width"": 551, ""depth"": 23.8, ""bearing"": 84}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 3770, ""width"": 504, ""depth"": 23.7, ""bearing"": 114}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 2846, ""width"": 499, ""depth"": 23.8, ""bearing"": 358}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 1007, ""width"": 523, ""depth"": 24.1, ""bearing"": 98}, {""segmentId"": 5, ""segmentName"": ""Segment 5"", ""length"": 5314, ""width"": 547, ""depth"": 24.1, ""bearing"": 196}]",35
36,9,Port of Busan Inner Navigation Channel,3364,288,14.3,13.1,One-Way,331,55,12.8,FALSE,10,TRUE,TRUE,FALSE,Daylight Hours Preferred,750,30,2.6,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 894, ""width"": 278, ""depth"": 14.7, ""bearing"": 5}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 512, ""width"": 300, ""depth"": 14.2, ""bearing"": 249}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 462, ""width"": 276, ""depth"": 14.4, ""bearing"": 87}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 1496, ""width"": 314, ""depth"": 14.0, ""bearing"": 3}]",36
37,9,Port of Busan Basin Access Channel,932,121,15,14.3,One-Way,318,48,13.5,FALSE,8,TRUE,TRUE,FALSE,24/7 Operations,500,35,2.2,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 178, ""width"": 94, ""depth"": 14.8, ""bearing"": 332}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 210, ""width"": 93, ""depth"": 15.3, ""bearing"": 169}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 136, ""width"": 111, ""depth"": 15.0, ""bearing"": 142}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 111, ""width"": 120, ""depth"": 15.4, ""bearing"": 89}, {""segmentId"": 5, ""segmentName"": ""Segment 5"", ""length"": 297, ""width"": 137, ""depth"": 15.4, ""bearing"": 122}]",37
38,9,Port of Busan Terminal Access Fairway,1198,114,10.7,9.6,One-Way,316,43,9.2,TRUE,6,TRUE,TRUE,FALSE,Daylight Hours Preferred,500,40,2.8,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 394, ""width"": 86, ""depth"": 10.7, ""bearing"": 239}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 317, ""width"": 114, ""depth"": 10.8, ""bearing"": 16}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 135, ""width"": 118, ""depth"": 10.4, ""bearing"": 13}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 75, ""width"": 111, ""depth"": 11.0, ""bearing"": 54}, {""segmentId"": 5, ""segmentName"": ""Segment 5"", ""length"": 277, ""width"": 89, ""depth"": 10.2, ""bearing"": 313}]",38
39,10,Port of Yokohama Main Approach Channel,22847,257,23.4,22.2,One-Way,385,61,21.9,TRUE,10,TRUE,TRUE,TRUE,Night Transit with Enhanced Pilotage,500,35,2.3,"[{""segmentId"": 1, ""segmentName"": ""Segment 1"", ""length"": 5978, ""width"": 254, ""depth"": 23.4, ""bearing"": 311}, {""segmentId"": 2, ""segmentName"": ""Segment 2"", ""length"": 6456, ""width"": 263, ""depth"": 23.1, ""bearing"": 177}, {""segmentId"": 3, ""segmentName"": ""Segment 3"", ""length"": 2803, ""width"": 282, ""depth"": 23.4, ""bearing"": 320}, {""segmentId"": 4, ""segmentName"": ""Segment 4"", ""length"": 2510, ""width"": 266, ""depth"": 23.9, ""bearing"": 263}, {""segmentId"": 5, ""segmentName"": ""Segment 5"", ""length"": 5100, ""width"": 255, ""depth"": 23.4, ""bearing"": 244}]",39
