recordId,vesselType,vesselLOA,vesselBeam,blockCoefficient,transitSpeed,cargoType,vesselStaticDraft,vesselDynamicDraft,cargoCondition,arrivalDraft,departureDraft,requiredUKC,requiredUKCSpec,ukcPolicy,channelDepthAtTide,berthDepthAtTide,tideHeight,waveCondition,waveHeight,squatAllowance,heelAllowance,waveResponseAllowance,safetyMargin,totalAllowances,calculatedUKC,ukcMargin,ukcStatus,optimalTransitTime,isConfined
20,Feeder_Container,152,29,0.606,17.4,Containers,9.17,12.17,Laden,9.17,6.24,0.87,9.5%,Dynamic,15.7,14.6,3.85,Slight,1.21,3,0.33,0.6,0.31,4.24,2.6,1.73,Safe,17:15,TRUE
21,Aframax,256,46,0.794,13.7,Crude Oil,13.58,14.29,PartLaden,11.29,6.77,1.2,10.7%,Dynamic,17.6,16.9,2.39,Slight,0.94,3,0.19,0.37,0.67,4.23,2.75,1.55,Safe,23:15,TRUE
22,Suezmax,284,49,0.823,13.2,Refined Products,15.69,18.69,Laden,15.69,7.53,1.05,1.05m,Dynamic,22.8,20.9,1.05,Moderate,1.66,3,0.2,0.58,0.58,4.36,3.33,2.28,Safe,07:00,FALSE
23,Panamax_Tanker,221,35,0.793,14.7,Chemicals,12.96,13.25,PartLaden,10.25,7.61,0.94,9.2%,Dynamic,15.4,14.4,3.76,Calm,0.2,3,0.24,0,0.41,3.65,1.91,0.97,Adequate,20:00,TRUE
24,Aframax,234,46,0.816,12.3,Crude Oil,13.81,16.07,Laden,13.81,9.01,1.95,14.1%,Gross,21.3,19.8,2.02,Moderate,2.15,2.26,0.17,0.92,0.56,3.91,7.49,5.54,Safe,04:30,FALSE
25,Panamax_Container,284,37,0.663,20.2,Containers,12.65,11.22,Ballast,8.22,12.65,0.81,9.8%,Dynamic,13,12.4,1.8,Slight,0.84,3,0.2,0.3,0.34,3.84,1.28,0.47,Marginal,01:45,TRUE
26,Panamax_Tanker,246,35,0.8,15.3,Chemicals,11.51,8.99,Ballast,5.99,11.51,0.58,9.7%,Net,10.2,8.7,4.35,Calm,0.05,3,0.16,0,0.63,3.79,1.05,0.47,Marginal,14:15,TRUE
27,Cruise_Ship,265,37,0.604,20.6,Passengers,7.96,10.96,Laden,7.96,7.16,0.52,6.5%,Net,12.4,11.5,1.79,Slight,0.64,3,0.26,0.24,0.37,3.87,0.94,0.42,Marginal,23:45,TRUE
28,Handysize_Bulk,146,25,0.8,13.4,Steel,9.92,12.92,Laden,9.92,4.96,1.47,1.47m,Dynamic,15.9,15.2,10.16,Moderate,1.81,3,0.1,0.91,0.66,4.67,1.97,0.5,Adequate,02:45,TRUE
29,VLCC,323,68,0.843,10.1,Crude Oil,18.33,21.33,Laden,18.33,8.25,1.05,5.7%,Net,24.7,24.1,10.79,Moderate,2.47,3,0.4,0.76,0.68,4.84,2.21,1.16,Safe,16:15,TRUE
30,LNG_Carrier,283,53,0.72,16.6,LNG,11.99,14.99,Laden,11.99,7.79,1.53,12.8%,Gross,16.5,15.2,0.8,Slight,0.82,3,0.25,0.29,0.52,4.06,4.51,2.98,Safe,02:45,TRUE
31,Capesize_Bulk,271,47,0.835,13.3,Iron Ore,18.03,10.57,Ballast,7.57,18.03,0.63,8.3%,Dynamic,13.9,12.1,2.64,Calm,0.14,3,0.24,0,0.6,3.84,3.09,2.46,Safe,00:30,TRUE
32,Panamax_Bulk,239,37,0.827,13,Coal,12.69,8.71,Ballast,5.71,11.35,0.63,11.1%,Dynamic,10.2,9,3.99,Slight,0.81,3,0.2,0.34,0.5,4.04,0.95,0.32,Marginal,03:00,TRUE
33,General_Cargo,136,22,0.725,12.3,Project Cargo,8.71,11.39,Laden,8.71,4.79,1.56,1.56m,Gross,12.5,11.7,2.34,Moderate,1.72,2.68,0.15,0.86,0.66,4.35,3.79,2.23,Safe,14:00,FALSE
34,General_Cargo,155,27,0.717,13.8,General Cargo,8.48,7.66,Ballast,4.66,8.48,1.23,1.23m,Dynamic,9.9,9,2.44,Slight,0.83,3,0.11,0.41,0.46,3.98,1.72,0.49,Marginal,00:00,TRUE
35,Handymax_Bulk,176,28,0.802,13.9,Grain,11.62,8.45,Ballast,5.58,11.62,0.5,7.4%,Net,9.6,9,1.76,Calm,0.26,2.87,0.14,0,0.53,3.54,1.01,0.51,Adequate,02:45,FALSE
36,Capesize_Bulk,278,43,0.839,12.9,Coal,16.06,19.06,Laden,16.06,6.75,2.23,13.9%,Gross,24,22.4,0.56,Slight,1.15,3,0.24,0.41,0.62,4.27,7.94,5.71,Safe,07:45,TRUE
37,VLCC,321,65,0.859,11.8,Crude Oil,19.41,22.32,Laden,19.41,8.73,1.25,6.5%,Net,24.4,23.4,4.83,Calm,0.47,2.91,0.41,0,0.49,3.81,1.67,0.42,Marginal,13:00,FALSE
38,Car_Carrier,189,33,0.571,19.3,Vehicles,8.07,11.07,Laden,8.07,5.29,1.01,12.5%,Gross,14.1,13.4,2.4,Slight,1.15,3,0.42,0.57,0.36,4.35,6.03,5.02,Safe,02:30,FALSE
39,Cruise_Ship,359,34,0.641,23,Passengers,8.53,11.53,Laden,8.53,7.68,0.93,0.93m,Dynamic,13.6,12.5,4.97,Slight,1.1,3,0.33,0.31,0.58,4.22,1.43,0.5,Marginal,14:00,TRUE
40,LNG_Carrier,331,51,0.73,19.1,LNG,11.65,14.65,Laden,11.65,7.57,0.55,0.55m,Net,16.3,14.9,1.99,Slight,1.17,3,0.27,0.35,0.65,4.27,1.03,0.48,Marginal,07:00,TRUE
41,VLCC,344,59,0.823,12.7,Crude Oil,22.11,25.11,Laden,22.11,13.9,3.23,14.6%,Gross,30.8,30.2,9.6,Moderate,1.66,3,0.29,0.48,0.57,4.34,8.69,5.46,Safe,03:15,TRUE
42,MR_Tanker,170,30,0.793,13.2,Chemicals,9.65,10.89,PartLaden,7.89,4.85,0.71,0.71m,Net,15.5,14.6,1.34,Slight,0.81,3,0.22,0.41,0.78,4.41,3.98,3.27,Safe,04:00,TRUE
43,Panamax_Container,276,38,0.67,21.1,Containers,12.17,15.17,Laden,12.17,6.9,1.47,12.1%,Gross,15.9,14.6,1.86,Very Rough,5.7,3,0.51,1.5,0.49,5.5,3.73,2.26,Safe,12:00,TRUE
44,VLCC,321,68,0.835,11.7,Crude Oil,19.39,17.09,PartLaden,14.09,10.77,1.5,10.7%,Dynamic,20,19.3,3.44,Moderate,1.51,3,0.47,0.47,0.3,4.24,1.97,0.47,Marginal,01:30,TRUE
45,VLCC,326,63,0.852,11.6,Crude Oil,19.13,21.92,Laden,19.13,8.61,2.54,13.3%,Gross,25.2,23.4,2.12,Calm,0.27,2.79,0.24,0,0.37,3.4,6.07,3.53,Safe,18:00,FALSE
46,Handymax_Bulk,182,31,0.814,13.7,Cement,11.93,11.79,PartLaden,8.79,6.92,1.24,14.1%,Gross,12.1,10.6,3.34,Slight,1.18,3,0.16,0.59,0.48,4.23,3.31,2.07,Safe,16:00,TRUE
47,Feeder_Container,198,25,0.641,19.7,Containers,8.47,9.79,PartLaden,6.79,4.79,1.91,1.91m,Gross,13.8,11.8,1.99,Calm,0.28,3,0.3,0,0.55,3.85,7.01,5.1,Safe,21:00,TRUE
48,Neo_Panamax,349,52,0.69,23.3,Containers,14.58,12.04,Ballast,9.04,11.19,1.05,11.6%,Gross,16.1,14.8,7.76,Slight,0.58,3,0.57,0.17,0.74,4.48,7.06,6.01,Safe,03:45,TRUE
49,ULCV,394,58,0.714,22,Containers,14.61,13.89,PartLaden,10.89,12.79,0.69,0.69m,Net,18.3,17,2.56,Rough,3.64,3,0.66,0.92,0.49,5.07,2.83,2.14,Safe,10:45,FALSE
50,General_Cargo,139,20,0.748,14.4,Project Cargo,9.66,7.61,Ballast,5.31,8.65,1.34,1.34m,Gross,13.4,11.6,1.73,Moderate,2.19,2.3,0.11,1.09,0.41,3.91,8.09,6.75,Safe,11:30,FALSE
51,LNG_Carrier,284,50,0.731,18.4,LNG,12.21,15.21,Laden,12.21,7.94,0.53,0.53m,Net,18.7,17.1,4.95,Calm,0.03,3,0.29,0,0.58,3.87,3.2,2.67,Safe,03:30,TRUE
52,ULCV,383,56,0.714,22.9,Containers,16.47,16.39,PartLaden,13.39,8.99,1.7,12.7%,Gross,19,18.4,1.3,Calm,0.21,3,0.67,0,0.52,4.19,5.61,3.91,Safe,13:00,FALSE
53,Capesize_Bulk,281,45,0.868,14.4,Coal,16.76,19.76,Laden,16.76,7.04,1.79,10.7%,Gross,23.1,21.2,2.18,Moderate,2.27,3,0.18,0.81,0.52,4.51,6.34,4.55,Safe,08:30,FALSE
54,Car_Carrier,200,33,0.575,19.8,Vehicles,9.3,10.49,PartLaden,7.49,4.89,0.83,11.0%,Dynamic,14.8,14,1.49,Slight,0.95,3,0.32,0.47,0.68,4.47,3.52,2.69,Safe,13:15,FALSE
55,Feeder_Container,141,26,0.638,19.1,Containers,8.34,11.34,Laden,8.34,6.09,0.7,8.4%,Net,15.6,13.9,6.04,Slight,0.88,3,0.33,0.44,0.55,4.32,3.49,2.79,Safe,23:45,FALSE
56,Handymax_Bulk,195,31,0.804,13.2,Grain,12.19,15.19,Laden,12.19,5.85,0.81,0.81m,Dynamic,17.6,16.7,1.06,Moderate,1.98,3,0.11,0.99,0.65,4.75,1.31,0.5,Adequate,21:00,TRUE
57,LNG_Carrier,283,46,0.74,18.3,LNG,11.32,14.32,Laden,11.32,7.36,0.6,0.6m,Net,17.9,16.5,0.91,Calm,0.01,3,0.57,0,0.63,4.2,3.01,2.41,Safe,21:30,FALSE
58,Panamax_Tanker,226,32,0.794,14.3,Refined Products,11.57,9.02,Ballast,6.02,11.57,0.59,9.8%,Dynamic,12.4,10.5,3.48,Rough,2.87,3,0.29,1.27,0.76,5.32,1.82,1.23,Safe,12:45,TRUE
59,Car_Carrier,192,35,0.589,19.5,Vehicles,8.21,9.16,Ballast,6.16,7.25,0.65,10.5%,Gross,13.3,11.9,0.64,Slight,0.62,3,0.21,0.31,0.61,4.13,7.14,6.49,Safe,21:30,TRUE
60,Panamax_Tanker,244,37,0.801,13.9,Chemicals,12.61,15.61,Laden,12.61,7.52,0.55,0.55m,Net,18.5,17.3,1.5,Slight,0.64,3,0.26,0.26,0.5,4.02,2.37,1.82,Safe,14:15,FALSE
61,Handysize_Bulk,143,30,0.815,13.1,Steel,8.58,11.58,Laden,8.58,5.87,0.81,0.81m,Dynamic,15.4,13.9,3.67,Slight,0.9,3,0.23,0.45,0.76,4.44,3.14,2.33,Safe,19:15,TRUE
62,VLCC,339,69,0.821,12.9,Crude Oil,19.65,22.65,Laden,19.65,8.84,2.51,12.8%,Gross,25.7,24.9,2.63,Moderate,2.39,3,0.44,0.71,0.54,4.69,6.05,3.54,Safe,16:00,TRUE
63,Car_Carrier,219,30,0.597,18.7,Vehicles,9.54,10.15,Ballast,7.15,9.54,0.77,0.77m,Net,14.8,14.1,2.63,Slight,0.61,3,0.26,0.28,0.51,4.05,4.11,3.34,Safe,06:45,TRUE
64,MR_Tanker,176,34,0.775,14.9,Refined Products,10.65,8.86,Ballast,5.86,7.81,0.53,9.0%,Dynamic,10.8,9.5,1.27,Calm,0.14,3,0.18,0,0.63,3.81,1.76,1.23,Safe,15:45,FALSE
65,MR_Tanker,177,34,0.794,14.5,Refined Products,10.32,13.32,Laden,10.32,5.68,1.03,1.03m,Gross,16.9,16,1.8,Calm,0.18,3,0.13,0,0.73,3.86,6.58,5.55,Safe,16:00,TRUE
66,Aframax,261,48,0.818,14.9,Crude Oil,14.81,10.41,Ballast,7.41,12.08,0.86,11.6%,Gross,13.4,12.2,2.06,Slight,1.11,3,0.39,0.43,0.53,4.35,5.99,5.13,Safe,19:45,TRUE
67,Neo_Panamax,348,50,0.675,21,Containers,14.35,17.35,Laden,14.35,10.71,1.33,9.3%,Net,20.7,20,1.83,Moderate,2.39,3,0.29,0.69,0.65,4.63,2.37,1.04,Safe,08:30,TRUE
68,Capesize_Bulk,295,45,0.863,14.5,Coal,18.32,10.69,Ballast,7.69,18.32,0.92,12.0%,Dynamic,13.6,12.2,2.22,Rough,3.21,3,0.38,1.09,0.59,5.06,1.44,0.52,Adequate,12:00,FALSE
69,Neo_Panamax,332,51,0.654,21.3,Containers,13.65,16.65,Laden,13.65,8.46,1.19,1.19m,Dynamic,20.4,19.8,1.67,Very Rough,4.5,3,0.68,1.36,0.55,5.59,1.71,0.52,Adequate,01:45,TRUE
70,Cruise_Ship,325,35,0.633,18.3,Passengers,9.44,12.44,Laden,9.44,6.09,1.1,11.7%,Gross,15.1,13.3,1.75,Slight,0.9,3,0.44,0.28,0.68,4.4,5.66,4.56,Safe,16:45,TRUE
71,Panamax_Bulk,240,33,0.855,13.9,Coal,12.81,8.76,Ballast,5.76,12.81,0.84,14.7%,Gross,11,9.6,8.62,Moderate,2.3,3,0.28,0.96,0.76,5,5.24,4.4,Safe,01:45,TRUE
72,MR_Tanker,176,29,0.772,15,Chemicals,10.64,13.64,Laden,10.64,7.48,1,9.4%,Dynamic,17.7,15.9,3.42,Slight,0.69,3,0.25,0.34,0.44,4.03,3.47,2.47,Safe,04:45,TRUE
73,Suezmax,292,53,0.839,14.6,Refined Products,15.73,18.73,Laden,15.73,7.55,1.31,8.3%,Net,21.4,20.3,11.8,Moderate,2.23,3,0.23,0.76,0.38,4.37,1.68,0.37,Marginal,18:30,FALSE
74,Suezmax,275,51,0.828,13,Refined Products,16.09,10.3,Ballast,7.72,16.09,0.5,5.5%,Net,12.5,10.8,11.62,Slight,0.76,2.58,0.22,0.28,0.43,3.51,1.7,1.2,Safe,02:00,FALSE
75,MR_Tanker,184,29,0.776,14,Chemicals,9.95,12.95,Laden,9.95,5.47,1.01,10.1%,Dynamic,15.6,14.4,0.6,Moderate,1.68,3,0.28,0.84,0.63,4.75,1.53,0.52,Adequate,09:45,TRUE
76,General_Cargo,169,24,0.724,14.4,Project Cargo,8.4,11.4,Laden,8.4,4.62,1.36,1.36m,Gross,13.4,12.1,1.1,Rough,3,3,0.18,1.5,0.59,5.27,5,3.64,Safe,09:45,TRUE
77,Handysize_Bulk,159,28,0.809,13.6,Steel,8.73,11.73,Laden,8.73,4.37,0.84,9.7%,Net,15.6,14.4,1.06,Calm,0.05,3,0.14,0,0.56,3.7,3.73,2.89,Safe,11:15,TRUE
78,Capesize_Bulk,284,48,0.857,14.8,Iron Ore,16.93,19.93,Laden,16.93,7.11,1.45,1.45m,Gross,20.9,20,1.05,Slight,1.16,3,0.4,0.41,0.42,4.23,3.97,2.52,Safe,07:15,TRUE
79,Car_Carrier,209,36,0.598,21,Vehicles,9.22,12.22,Laden,9.22,5.77,1.23,13.3%,Gross,15.2,14.2,9.74,Moderate,1.47,3,0.36,0.7,0.34,4.4,5.98,4.75,Safe,01:15,FALSE
80,Panamax_Tanker,235,37,0.806,15.1,Refined Products,11.93,14.93,Laden,11.93,6.91,1.47,12.4%,Gross,15.9,14.2,0.72,Slight,1.01,3,0.36,0.43,0.53,4.32,3.97,2.5,Safe,22:45,TRUE
81,General_Cargo,163,26,0.75,12.3,Project Cargo,9.51,10.47,PartLaden,7.47,5.08,0.94,12.6%,Gross,11.6,10,4.58,Very Rough,4.69,3,0.22,1.5,0.66,5.38,4.13,3.19,Safe,03:00,TRUE
82,Feeder_Container,195,28,0.635,16.1,Containers,9.79,12.79,Laden,9.79,6.66,0.81,8.3%,Dynamic,16.2,15.2,3.61,Moderate,2.43,3,0.19,1.22,0.64,5.05,2,1.19,Safe,16:00,TRUE
83,Panamax_Tanker,243,38,0.815,15.4,Chemicals,11.48,12.08,PartLaden,9.08,10.26,0.82,0.82m,Net,14.1,13.2,1.84,Slight,1.21,3,0.39,0.5,0.33,4.22,1.13,0.31,Marginal,13:15,FALSE
84,Panamax_Tanker,221,32,0.813,13.2,Refined Products,13.12,9.82,Ballast,6.82,13.12,0.88,12.9%,Gross,11.8,10.1,1.68,Calm,0.39,3,0.17,0,0.76,3.93,4.98,4.1,Safe,22:15,TRUE
85,Feeder_Container,176,22,0.642,16.7,Containers,8.19,9.1,PartLaden,6.1,4.3,1.6,1.6m,Gross,11.9,10.1,7.38,Calm,0.17,3,0.17,0,0.44,3.61,5.8,4.2,Safe,21:45,FALSE
86,Feeder_Container,178,29,0.644,17,Containers,10.1,13.1,Laden,10.1,7.12,0.96,9.5%,Dynamic,14.9,14.1,2.42,Calm,0.17,3,0.33,0,0.54,3.87,1.47,0.51,Adequate,17:15,TRUE
87,Neo_Panamax,363,50,0.688,23.4,Containers,13.61,16.61,Laden,13.61,8.44,1.79,13.2%,Gross,20.4,19.9,3.6,Calm,0.08,3,0.54,0,0.7,4.24,6.79,5,Safe,18:45,TRUE
88,VLCC,336,61,0.852,12.8,Crude Oil,20.53,23.53,Laden,20.53,13.99,2.94,14.3%,Gross,26.2,24.7,3.5,Calm,0.21,3,0.24,0,0.79,4.03,5.67,2.73,Safe,03:45,TRUE
89,Handysize_Bulk,144,27,0.793,14,General Bulk,9.07,7.54,Ballast,4.54,7.15,0.5,10.8%,Gross,8.2,6.4,2.01,Rough,3.33,3,0.26,1.5,0.76,5.52,3.66,3.16,Safe,22:15,TRUE
90,Panamax_Bulk,246,38,0.836,14.5,Coal,13.26,16.26,Laden,13.26,5.97,1.48,11.2%,Gross,18.5,17.4,0.51,Slight,0.52,3,0.2,0.21,0.3,3.71,5.24,3.76,Safe,00:15,FALSE
91,Panamax_Tanker,233,33,0.785,15.8,Chemicals,11.52,14.52,Laden,11.52,5.99,1.04,9.1%,Dynamic,19.1,17.2,4.11,Rough,3.17,3,0.19,1.36,0.35,4.9,3.03,1.99,Safe,11:45,TRUE
92,Panamax_Tanker,229,37,0.807,14.2,Refined Products,11.5,14.5,Laden,11.5,7.77,1.19,10.3%,Gross,16,14.8,1.34,Slight,1.12,3,0.2,0.49,0.61,4.3,4.5,3.31,Safe,16:00,TRUE
93,Neo_Panamax,343,50,0.689,20.4,Containers,14.07,14.8,PartLaden,11.8,11.33,0.65,0.65m,Net,17.2,16.1,2.59,Slight,1.07,3,0.32,0.31,0.3,3.93,1.77,1.12,Safe,06:15,TRUE
94,Handymax_Bulk,178,32,0.807,13.7,Grain,12.3,8.9,Ballast,5.9,12.3,0.5,8.5%,Dynamic,12.5,11.6,2.46,Moderate,1.93,3,0.26,0.96,0.61,4.83,2.38,1.88,Safe,10:00,TRUE
95,Cruise_Ship,330,39,0.648,18,Passengers,7.78,10.78,Laden,7.78,4.77,0.5,6.1%,Net,12.1,11.2,1.23,Calm,0.41,3,0.46,0,0.41,3.87,0.86,0.36,Marginal,12:15,TRUE
96,Feeder_Container,194,28,0.652,18.3,Containers,8.66,8.89,Ballast,5.89,8.66,0.53,9.0%,Net,13.2,12.6,0.76,Rough,3.89,3,0.2,1.5,0.71,5.41,2.61,2.08,Safe,12:45,TRUE
97,Panamax_Bulk,247,34,0.825,13.8,Iron Ore,14.28,14.14,PartLaden,11.14,7.51,1.11,10.0%,Net,16.9,16.2,0.28,Calm,0.2,3,0.24,0,0.77,4.01,2.52,1.41,Safe,07:00,TRUE
98,Panamax_Container,260,37,0.634,21.9,Containers,12.26,10.97,Ballast,7.97,12.26,1.7,1.7m,Gross,12.6,11.1,2.13,Slight,0.72,3,0.52,0.28,0.6,4.4,4.63,2.93,Safe,14:00,TRUE
99,Handysize_Bulk,152,29,0.786,13.6,General Bulk,9.35,12.35,Laden,9.35,4.67,1.01,10.8%,Dynamic,16,14.5,3,Moderate,1.62,3,0.25,0.81,0.52,4.58,2.59,1.58,Safe,01:45,TRUE
100,Aframax,249,46,0.792,14.6,Refined Products,13.68,12.37,PartLaden,9.37,11.54,0.51,5.5%,Net,13.8,12.1,0.16,Calm,0.45,3,0.24,0,0.5,3.74,1.19,0.68,Adequate,13:15,FALSE
101,LNG_Carrier,343,49,0.742,16.8,LNG,12.48,15.48,Laden,12.48,8.11,1.56,12.5%,Gross,19.3,18.4,2.69,Moderate,2.39,3,0.29,0.7,0.67,4.66,6.82,5.26,Safe,17:45,TRUE
102,Suezmax,274,50,0.813,14.2,Crude Oil,16.37,19.37,Laden,16.37,7.86,1.33,8.1%,Net,22.5,20.8,2.45,Calm,0.14,3,0.46,0,0.4,3.86,2.67,1.34,Safe,05:15,FALSE
103,Feeder_Container,193,27,0.63,18.4,Containers,8.24,11.24,Laden,8.24,5.49,1.46,1.46m,Dynamic,16.4,15.7,3.86,Calm,0.34,3,0.26,0,0.61,3.87,4.9,3.44,Safe,21:15,TRUE
104,ULCV,388,57,0.716,22.3,Containers,16.21,19.21,Laden,16.21,9.73,0.55,0.55m,Net,21.9,21.1,3.59,Calm,0.16,3,0.8,0,0.77,4.57,1.89,1.34,Safe,09:45,FALSE
105,Handysize_Bulk,145,26,0.796,12.8,Grain,9.35,12.35,Laden,9.35,6.66,1.95,1.95m,Gross,15.4,13.7,1.87,Moderate,1.77,3,0.13,0.89,0.53,4.55,6.05,4.1,Safe,19:00,TRUE
106,Aframax,259,47,0.795,13.7,Refined Products,14.54,17.54,Laden,14.54,7.27,1.89,1.89m,Gross,18.8,17.5,0.41,Slight,0.74,3,0.42,0.29,0.77,4.48,4.26,2.37,Safe,21:15,TRUE
107,Feeder_Container,195,23,0.645,18.4,Containers,8.39,8.71,Ballast,5.71,8.39,0.66,0.66m,Net,13,11.5,4.35,Calm,0.39,3,0.18,0,0.32,3.5,4.11,3.45,Safe,01:15,TRUE
108,Feeder_Container,146,22,0.652,18.6,Containers,9.86,9.7,Ballast,6.7,8.43,0.68,0.68m,Net,13.8,13.2,2.05,Moderate,1.37,3,0.27,0.69,0.71,4.67,3.14,2.46,Safe,20:45,TRUE
109,MR_Tanker,188,29,0.776,14.7,Refined Products,9.5,12.5,Laden,9.5,5.23,1.21,12.8%,Gross,16.5,15.4,1.17,Slight,1.12,3,0.16,0.56,0.42,4.14,7,5.79,Safe,11:30,FALSE
110,Suezmax,289,50,0.84,13.3,Refined Products,15.8,18.8,Laden,15.8,10.07,0.88,5.5%,Net,21.9,20.1,1.97,Slight,0.66,3,0.18,0.23,0.6,4.01,2.69,1.81,Safe,07:45,FALSE
111,General_Cargo,135,21,0.735,13.8,Steel,8.1,8.61,PartLaden,6.02,6.71,0.8,0.8m,Net,10.5,9.9,3.84,Slight,0.76,2.59,0.19,0.38,0.67,3.83,1.32,0.52,Adequate,09:45,FALSE
112,Panamax_Bulk,240,36,0.83,15,Iron Ore,12.54,15.54,Laden,12.54,5.64,1.25,9.9%,Net,18.8,18.1,2.62,Calm,0.17,3,0.29,0,0.56,3.85,2.97,1.72,Safe,15:30,TRUE
113,Neo_Panamax,324,52,0.688,23.5,Containers,14.73,12.13,Ballast,9.13,14.73,0.87,9.6%,Net,16.9,15.3,3.91,Moderate,1.52,3,0.37,0.47,0.72,4.56,3.93,3.06,Safe,07:30,TRUE
