vessel_id,imo_number,flagState,flagStateName,vessel_name,vessel_type,loa,beam,draft,grossTonnage,cargoType,cargoVolume,cargoUnit
59,9300221,KR,South Korea,ISLAND PEARL,Handysize Bulk,143,26,9,19905,Scrap Metal,31254,MT
60,9212893,GR,Greece,SUNNY PEARL,Handysize Bulk,166,24,10.4,23230,Grain,35489,MT
61,9796038,BS,Bahamas,MINERAL FORTUNE,Capesize Bulk,296,44,16.4,117170,Iron Ore,157942,MT
62,9561416,HK,Hong Kong,STOLT PRECISION,Chemical Tanker,146,28,10.6,18116,Phosphoric Acid,22282,MT
63,9196295,JP,Japan,EURO HARMONY,General Cargo,124,23,8.7,11155,Machinery,19316,MT
64,9151498,PA,Panama,ATLANTIC LINK,RoRo Cargo,191,28,9,28288,Heavy Equipment,5319,LM
65,9395378,NL,Netherlands,ISLAND RUBY,Handysize Bulk,142,30,9.9,20797,Scrap Metal,35856,MT
66,9322603,SG,Singapore,FRESH TRADER,Reefer,174,25,8.8,17968,Dairy,552046,CBF
67,9455155,JP,Japan,HANSA DRAGON III,Heavy Lift,175,28,9.9,24382,Heavy Lift,31420,MT
68,9545605,HK,Hong Kong,COLOR ADVENTURER,Passenger Ferry,185,31,6.4,20313,Vehicles,1989,PAX
69,9480147,CN,China,ARCTIC CARRIER,Reefer,180,26,9.5,15279,Fish,462770,CBF
70,9616152,PA,Panama,FINNLINES LINK,RoRo Cargo,187,28,7.3,43850,Trailers,2960,LM
71,9275408,SA,Saudi Arabia,ARDMORE UNITY,Panamax Tanker,225,35,11.7,37227,Clean Petroleum Products,55356,MT
72,9413997,PA,Panama,EURO TRADER,General Cargo,125,24,8,15223,Machinery,20277,MT
73,9561419,HK,Hong Kong,EVERGREEN EUROPE,Panamax Container,269,33,13.3,59877,Containers,5308,TEU
74,9853538,HK,Hong Kong,HAFNIA ANNE V,MR Tanker,174,32,9.5,24664,Naphtha,40027,MT
75,9752885,JP,Japan,SUNNY JADE,Handysize Bulk,142,29,9.9,24098,General Bulk,37289,MT
76,9876647,MH,Marshall Islands,ATLANTIC MERCHANT,Handymax Bulk,173,30,10.8,32189,Grain,40495,MT
77,9176882,ID,Indonesia,STENA SPIRIT,Passenger Ferry,205,31,6.7,46624,Vehicles,1728,PAX
78,9546358,US,United States,ASIA HARMONY 3,General Cargo,166,25,7.5,15833,Steel,23458,MT
79,9043365,GR,Greece,GLOVIS HIGHWAY,PCTC,225,36,10.3,58509,Heavy Machinery,6057,CEU
80,9640671,BS,Bahamas,STENA EXPLORER,Passenger Ferry,187,31,6.9,58196,Passengers,2294,PAX
81,9148469,MH,Marshall Islands,NORDIC PRECISION,Chemical Tanker,174,27,9.9,21860,Phosphoric Acid,16985,MT
82,9512698,LR,Liberia,POLAR STAR,Reefer,148,25,8.7,16859,Dairy,637025,CBF
83,9144863,LR,Liberia,MSC EAGLE,Neo-Panamax Container,353,50,13.9,122881,Containers,14618,TEU
84,9591348,KR,South Korea,ARDMORE ANNE,MR Tanker,178,32,10.8,23984,Diesel,49376,MT
85,9914798,IN,India,TIDEWATER SUPPORTER,Offshore Supply,87,18,7.3,3590,Water,5559,MT
86,9699627,PA,Panama,GOLDEN TRADER III,Panamax Bulk,238,36,12.8,35298,Iron Ore,77955,MT
87,9716643,SG,Singapore,STOLT CONFIDENCE I,Chemical Tanker,166,30,10.9,22123,Methanol,42209,MT
88,9914942,LR,Liberia,K LINE TRIUMPH II,PCTC,189,32,8.3,46392,Heavy Machinery,7227,CEU
89,9527661,CN,China,ASIA PROGRESS,General Cargo,137,20,9.6,16306,Machinery,15067,MT
90,9198658,CN,China,GENER8 PRIDE,Suezmax,275,53,15.1,88277,Fuel Oil,149134,MT
91,9204565,HK,Hong Kong,NORDIC QUEEN II,Aframax,267,42,13.2,60663,Fuel Oil,92163,MT
92,9986767,TW,Taiwan,SWIRE SUPPORTER 4,Offshore Supply,98,20,7.1,4643,Drilling Supplies,4101,MT
93,9091348,MH,Marshall Islands,DFDS STAR 3,Passenger Ferry,217,28,6.2,40717,Vehicles,1718,PAX
94,9323310,LR,Liberia,TRANS FORTUNE,Supramax Bulk,208,32,11.8,31448,Fertilizer,53353,MT
95,9702146,MH,Marshall Islands,REGIONAL SERVICE III,Feeder Container,169,23,10.7,26667,Containers,2944,TEU
96,9179711,LR,Liberia,SK HORIZON,LNG Carrier,281,47,11.6,146887,LNG,207951,CBM
97,9697582,BS,Bahamas,GLOBAL TRADER IV,General Cargo,136,22,9.5,9901,Machinery,19723,MT
98,9574097,BS,Bahamas,COASTAL DIAMOND 1,Handysize Bulk,180,28,8.7,12471,Steel Products,39960,MT
99,9736739,GR,Greece,TRANS HARMONY,Supramax Bulk,201,32,11.1,28695,Sugar,64909,MT
100,9321942,GR,Greece,ARDMORE VICTORIA,MR Tanker,189,31,11.4,35071,Clean Petroleum Products,48100,MT
101,9113567,LR,Liberia,NAVIG8 EXCELLENCE,Chemical Tanker,145,28,9.3,18817,Methanol,34024,MT
102,9300651,LR,Liberia,COASTAL JADE,Handysize Bulk,164,24,9.4,24586,Logs,20651,MT
103,9547413,SG,Singapore,HAFNIA LIGHT,Aframax,260,47,14.8,55949,Dirty Petroleum Products,83112,MT
104,9739056,PA,Panama,ODFJELL INTEGRITY 8,Chemical Tanker,177,28,9.8,29585,Methanol,40742,MT
105,9111805,LR,Liberia,CAPE FORTUNE,Capesize Bulk,300,48,16.3,92034,Iron Ore,172305,MT
106,9060020,LR,Liberia,JUMBO GIANT II,Heavy Lift,163,35,9.1,17508,Offshore Equipment,33087,MT
107,9551363,MH,Marshall Islands,HAPAG HARMONY,Neo-Panamax Container,345,48,14,153320,Containers,12359,TEU
108,9487982,GB,United Kingdom,ATLANTIC HIGHWAY I,RoRo Cargo,158,29,7.9,21701,Rolling Cargo,3081,LM
109,9822899,SA,Saudi Arabia,POLAR CARRIER,Reefer,131,26,8.8,9907,Refrigerated Cargo,582139,CBF
110,9198143,DK,Denmark,ODFJELL PRECISION,Chemical Tanker,166,30,10.2,24561,Chemicals,21223,MT
111,9392222,DE,Germany,SWIRE PROVIDER III,Offshore Supply,85,19,6.1,5461,Deck Cargo,4020,MT
112,9499904,MH,Marshall Islands,PACIFIC HARVEST,Panamax Bulk,229,36,14.2,44742,Iron Ore,73273,MT
113,9691272,LR,Liberia,SUPRA FORTUNE,Supramax Bulk,205,34,12.2,37646,Cement,54038,MT
114,9601672,MH,Marshall Islands,GOLDEN CARRIER,Panamax Bulk,248,36,14.2,52555,Grain,78462,MT
115,9442976,MH,Marshall Islands,GOLDEN HARVEST V,Panamax Bulk,230,34,13.3,47930,Bauxite,79096,MT
116,9347417,IN,India,HMM TRIUMPH,ULCV,400,59,15.5,227547,Containers,23089,TEU
117,9867291,HK,Hong Kong,SCORPIO QUEEN,Aframax,264,46,14.7,81537,Dirty Petroleum Products,91120,MT
118,9615046,SG,Singapore,FRESH STAR,Reefer,150,27,10,16963,Refrigerated Cargo,569826,CBF
119,9576526,NO,Norway,YANG MING TRUST,Neo-Panamax Container,355,48,14.7,153767,Containers,14066,TEU
120,9536257,MH,Marshall Islands,K LINE TRIUMPH IV,PCTC,206,31,8.6,49601,Trucks,5102,CEU
121,9690587,MH,Marshall Islands,HAPPY FALCON,Heavy Lift,144,29,9.7,20522,Offshore Equipment,30469,MT
122,9789953,MH,Marshall Islands,NORDIC STAR 5,Suezmax,295,53,15.1,100334,Crude Oil,160012,MT
123,9614036,PA,Panama,NORWEGIAN WONDER,Cruise Ship,316,38,7.9,157968,Passengers,2128,PAX
124,9563806,HK,Hong Kong,FEEDER SHUTTLE,Feeder Container,192,23,9.1,11703,Containers,1349,TEU
125,9300313,LR,Liberia,HAFNIA STAR,Aframax,234,45,14.9,83890,Crude Oil,109518,MT
126,9074852,PA,Panama,OCEAN PIONEER I,VLCC,342,65,22.2,233596,Crude Oil,289470,MT
127,9677713,MH,Marshall Islands,GLOBAL PROGRESS III,General Cargo,139,20,9,8806,Timber,8269,MT
128,9622744,SG,Singapore,COASTAL EXPRESS,Feeder Container,141,27,8.5,9108,Containers,1797,TEU
129,9139775,HK,Hong Kong,ASIA HARMONY,General Cargo,122,22,7.9,19638,Bagged Goods,17507,MT
130,9801612,NL,Netherlands,GASLOG STAR,LNG Carrier,313,52,12.2,138548,LNG,221438,CBM
131,9562819,SG,Singapore,ULTRA HARMONY,Supramax Bulk,200,35,11.6,39733,Cement,52339,MT
132,9217807,AE,UAE,PIL EUROPE,Panamax Container,287,36,12.1,50940,Containers,5456,TEU
133,9081556,JP,Japan,SCORPIO MARY,MR Tanker,188,31,11.1,36601,Naphtha,44246,MT
134,9119586,MT,Malta,HAFNIA MARY,MR Tanker,174,28,10.3,34349,Jet Fuel,50142,MT
135,9638402,LR,Liberia,CAPE GLORY,Capesize Bulk,287,49,16.1,106441,Iron Ore,155168,MT
136,9688046,MT,Malta,MSC SYMPHONY,Cruise Ship,259,37,7.8,84592,Passengers,5580,PAX
137,9475579,CN,China,PANA HARVEST,Panamax Bulk,248,38,14.5,51421,Coal,69525,MT
138,9146901,LR,Liberia,ULTRA UNITY,Supramax Bulk,206,35,12.9,36023,Grain,63981,MT
139,9260474,PA,Panama,MSC DREAM,Cruise Ship,351,35,9.2,180029,Passengers,2048,PAX
140,9071036,BS,Bahamas,ODFJELL EXCELLENCE,Chemical Tanker,171,23,9,18724,Phosphoric Acid,35169,MT
141,9178633,SG,Singapore,SCORPIO SPIRIT,Panamax Tanker,239,38,12.9,46048,Fuel Oil,56679,MT
142,9797419,MT,Malta,SCORPIO PERFORMANCE,Panamax Tanker,222,33,11.5,42171,Gasoil,73099,MT
143,9163910,LR,Liberia,COOL EXPRESS,Reefer,158,27,10.1,13642,Fish,490242,CBF
144,9722569,BS,Bahamas,X-PRESS EXPRESS 9,Feeder Container,191,29,8.9,8757,Containers,1029,TEU
145,9771362,GR,Greece,SAMSUNG HORIZON,LNG Carrier,287,49,11.9,109932,LNG,169564,CBM
146,9088524,PH,Philippines,CELEBRITY DREAM,Cruise Ship,253,41,8.2,137555,Passengers,4204,PAX
147,9245109,BS,Bahamas,K LINE HIGHWAY,PCTC,214,36,10.3,47079,Vehicles,6195,CEU
148,9701014,SA,Saudi Arabia,HAFNIA EMMA,MR Tanker,175,34,10.4,33402,Clean Petroleum Products,42331,MT
149,9742813,IT,Italy,HMM ACE,ULCV,383,62,15,215953,Containers,20169,TEU
150,9093081,TW,Taiwan,STAR VICTORY,VLCC,323,61,20.2,180700,Crude Oil,283240,MT
151,9070399,MT,Malta,COASTAL SHUTTLE,Feeder Container,189,28,10.8,28290,Containers,1145,TEU
152,9740181,PA,Panama,REGIONAL LINK IV,Feeder Container,164,23,8.6,28921,Containers,701,TEU
153,9986698,CY,Cyprus,NORDIC LIGHT 8,Aframax,250,45,12.6,50272,Crude Oil,110546,MT
154,9877514,NL,Netherlands,STENA PERFORMANCE,Panamax Tanker,250,32,11.5,39790,Clean Petroleum Products,65023,MT
155,9227112,IN,India,ARDMORE LAURA,MR Tanker,184,33,9.5,31999,Gasoline,45373,MT
156,9687430,MH,Marshall Islands,REGIONAL EXPRESS V,Feeder Container,151,26,8.2,17623,Containers,736,TEU
157,9259361,MT,Malta,DFDS LINE,Passenger Ferry,168,31,6.6,54671,Passengers,2213,PAX
158,9550903,NO,Norway,DELTA SPIRIT,Suezmax,280,48,16.6,100015,Crude Oil,151399,MT
159,9592854,CY,Cyprus,X-PRESS SERVICE,Feeder Container,149,25,10.2,17252,Containers,835,TEU
160,9028527,DE,Germany,STAR GLORY,VLCC,340,63,20.7,153780,Crude Oil,281066,MT
161,9281854,PA,Panama,BW PIONEER,LPG Carrier,214,41,10,43366,LPG,62482,CBM
162,9869536,MT,Malta,HANDY TRADER,Handymax Bulk,198,28,11.8,31046,Cement,38293,MT
163,9024995,IT,Italy,COASTAL SERVICE,Feeder Container,196,26,9.6,26144,Containers,1173,TEU
164,9090036,LR,Liberia,EURO PROGRESS,General Cargo,162,21,8,14330,Machinery,18403,MT
165,9950734,BS,Bahamas,GASLOG STAR II,LNG Carrier,325,53,12,164400,LNG,255439,CBM
166,9553855,PH,Philippines,DOF SUPPORTER,Offshore Supply,90,24,6.3,4803,Deck Cargo,5188,MT
167,9238364,PA,Panama,NAVIG8 INTEGRITY III,Chemical Tanker,141,32,9.2,10065,Vegetable Oils,26660,MT
168,9814880,FR,France,TRANS TRADER II,General Cargo,138,28,9.2,12014,Timber,21894,MT
169,9348762,MH,Marshall Islands,OCEAN PROSPERITY,Capesize Bulk,285,45,17.5,118871,Iron Ore,187269,MT
170,9108808,LR,Liberia,STENA UNITY,Panamax Tanker,224,33,12.4,49236,Gasoil,66351,MT
171,9552800,CN,China,HANDY JADE,Handysize Bulk,177,28,8.7,20933,Logs,23457,MT
172,9045890,BS,Bahamas,AVANCE LEADER III,LPG Carrier,200,38,12,48846,LPG,74072,CBM
173,9581252,NO,Norway,DELTA STAR,Suezmax,277,52,16.6,112565,Fuel Oil,138716,MT
174,9832206,DE,Germany,ATLANTIC SPIRIT,Handymax Bulk,186,31,11.4,20041,Logs,49283,MT
175,9624870,MH,Marshall Islands,TORM PRINCESS,Aframax,265,43,13.7,77124,Dirty Petroleum Products,93705,MT
176,9278615,LR,Liberia,MARAN LIGHT IV,Suezmax,277,51,15.3,154396,Fuel Oil,126722,MT
177,9763604,GR,Greece,COASTAL SERVICE I,Feeder Container,165,28,9.6,16096,Containers,2675,TEU
178,9335376,PA,Panama,MSC FANTASY,Cruise Ship,252,37,8.2,125982,Passengers,2793,PAX
179,9608693,HK,Hong Kong,AVANCE STAR,LPG Carrier,205,42,10.1,47940,Butane,77078,CBM
180,9773975,MH,Marshall Islands,SCORPIO ANNE 8,MR Tanker,186,32,10.9,39515,Diesel,35668,MT
181,9342336,SA,Saudi Arabia,AVANCE LEADER,LPG Carrier,206,39,10.2,48900,Propane,75107,CBM
182,9464799,PA,Panama,TRANS PROGRESS I,Supramax Bulk,206,33,11.3,28901,Grain,53730,MT
183,9011857,JP,Japan,HAFNIA PRINCESS III,Aframax,258,47,14,82369,Fuel Oil,108414,MT
184,9584828,MH,Marshall Islands,NORDIC INTEGRITY,Chemical Tanker,178,27,9.6,29996,Phosphoric Acid,16756,MT
185,9272137,LR,Liberia,ASIA TRADER,General Cargo,127,25,9.9,19080,Steel,20808,MT
186,9473430,LR,Liberia,GLOVIS CHAMPION,PCTC,197,36,8.5,76514,Cars,4395,CEU
187,9826696,SG,Singapore,ARDMORE SPIRIT,Panamax Tanker,235,32,11.3,37944,Gasoil,58998,MT
188,9866513,MT,Malta,GOLDEN HARVEST 4,Panamax Bulk,225,37,13.2,44437,Grain,82296,MT
189,9018776,GR,Greece,DORIAN LEADER,LPG Carrier,223,32,10.7,61926,LPG,57908,CBM
190,9466077,NL,Netherlands,NORWEGIAN DREAM,Cruise Ship,265,40,8.2,166042,Passengers,2348,PAX
191,9334695,CN,China,INTER FORTUNE,Supramax Bulk,195,33,11.5,40374,Steel Products,57954,MT
192,9152854,LR,Liberia,STENA PROGRESS V,Panamax Tanker,239,37,11.8,49663,Clean Petroleum Products,67572,MT
193,9393239,NO,Norway,BALTIC CARRIER,RoRo Cargo,205,26,8.9,43016,Project Cargo,2572,LM
194,9538256,CY,Cyprus,SUEZ PRIDE III,Suezmax,283,54,15.9,143527,Crude Oil,153630,MT
195,9765183,MT,Malta,SUPRA UNITY II,Supramax Bulk,199,33,12.2,36006,Fertilizer,53374,MT
196,9840285,CN,China,EVERGREEN ASIA 7,Panamax Container,288,35,12.7,51504,Containers,5139,TEU
197,9945612,SG,Singapore,FEEDER EXPRESS,Feeder Container,161,23,9.4,25518,Containers,908,TEU
198,9572963,CN,China,MOL CHAMPION,PCTC,207,31,9.8,50532,Heavy Machinery,5304,CEU
199,9896200,CN,China,HMM OSCAR,ULCV,385,57,15.3,233326,Containers,23331,TEU
200,9925373,CY,Cyprus,STENA LAURA I,MR Tanker,171,28,10.8,29729,Diesel,47049,MT
201,9015549,CY,Cyprus,NAVIGATOR PIONEER,LPG Carrier,231,39,11.1,43863,Ammonia,77721,CBM
202,9967829,IN,India,HAPAG FUTURE,Neo-Panamax Container,339,52,14.4,126974,Containers,14351,TEU
203,9384378,JP,Japan,SCORPIO PERFORMANCE 9,Panamax Tanker,246,32,12.1,39801,Clean Petroleum Products,60383,MT
204,9818549,PH,Philippines,MSC TRUST 5,Neo-Panamax Container,344,48,13.8,124569,Containers,12053,TEU
205,9782361,LR,Liberia,SUNNY PEARL III,Handysize Bulk,177,28,8.6,15592,Steel Products,30402,MT
206,9714466,ID,Indonesia,TIDEWATER SERVER,Offshore Supply,75,23,5.7,4962,Fuel,3469,MT
207,9332943,SG,Singapore,STAR SPIRIT,Handymax Bulk,200,32,10.6,24818,Cement,47594,MT
208,9444036,HK,Hong Kong,PACIFIC MERCHANT,Handymax Bulk,177,31,10.8,22300,Steel Coils,43416,MT
209,9899178,MY,Malaysia,COOL STAR,Reefer,167,27,8.8,14826,Meat,592105,CBF
210,9474993,LR,Liberia,HANDY MERCHANT,Handymax Bulk,181,33,11.6,26072,Cement,46155,MT
211,9002560,LR,Liberia,ARCTIC TRADER,Reefer,174,28,9.6,16335,Meat,433231,CBF
212,9617198,SG,Singapore,WAN HAI PACIFIC III,Panamax Container,287,36,13.4,65723,Containers,4925,TEU
213,9619810,HK,Hong Kong,ROYAL SYMPHONY I,Cruise Ship,255,38,8.9,80985,Passengers,4250,PAX
214,9091470,PA,Panama,INTER UNITY V,Supramax Bulk,202,34,11,37798,Steel Products,60927,MT
215,9670611,BS,Bahamas,TRANS PROGRESS 1,Supramax Bulk,215,31,11.6,34086,Cement,52818,MT
216,9726466,MT,Malta,ZIM ASIA,Panamax Container,275,33,12,71613,Containers,4407,TEU
217,9010665,PA,Panama,X-PRESS EXPRESS V,Feeder Container,163,22,9.7,23023,Containers,2601,TEU
218,9332010,US,United States,COASTAL LINK,Feeder Container,160,23,9.7,27664,Containers,1051,TEU
219,9762502,LR,Liberia,INTER FORTUNE II,Supramax Bulk,198,33,12.6,40677,Cement,64785,MT
220,9506860,GR,Greece,TORM EMMA 3,MR Tanker,187,28,9.7,26093,Diesel,50946,MT
221,9042854,JP,Japan,ARDMORE EMMA III,MR Tanker,183,30,11.5,28033,Gasoline,47862,MT
222,9242079,PA,Panama,SUEZ SPIRIT,Suezmax,290,49,15.3,148225,Crude Oil,141360,MT
223,9581297,MT,Malta,COASTAL PEARL,Handysize Bulk,179,28,8.9,18443,Steel Products,37264,MT
224,9531267,GR,Greece,BOURBON SERVER V,Offshore Supply,88,24,5.7,4626,Water,4476,MT
225,9907294,MT,Malta,HOEGH SPIRIT,PCTC,195,33,9.2,50545,Cars,5143,CEU
226,9807335,NL,Netherlands,HOEGH CHAMPION,PCTC,214,30,8.9,59116,Cars,6716,CEU
227,9926395,MH,Marshall Islands,DFDS SPIRIT,Passenger Ferry,171,28,6.7,54937,Passengers,2661,PAX
228,9181112,MT,Malta,GOLDEN TRADER,Panamax Bulk,237,34,13.1,40209,Grain,67940,MT
229,9873857,BS,Bahamas,HAFNIA UNITY,Panamax Tanker,250,36,12,50974,Fuel Oil,72569,MT
230,9643963,BS,Bahamas,MSC MAGIC 2,Cruise Ship,339,42,9.4,172824,Passengers,6322,PAX
231,9741529,KR,South Korea,REGIONAL SERVICE 7,Feeder Container,169,27,10.7,20114,Containers,1670,TEU
232,9162022,NO,Norway,GOLDEN MERCHANT,Panamax Bulk,232,33,13.9,53695,Iron Ore,78172,MT
233,9165916,PA,Panama,SCORPIO LIGHT,Aframax,265,47,14.2,63845,Dirty Petroleum Products,113848,MT
234,9809899,PA,Panama,EVER ACE,ULCV,388,60,15.4,215256,Containers,22769,TEU
235,9511505,MH,Marshall Islands,NORTH SEA CARRIER I,RoRo Cargo,176,31,7.2,29375,Rolling Cargo,2681,LM
236,9555626,HK,Hong Kong,COSCO OSCAR IV,ULCV,381,62,16.4,229451,Containers,21764,TEU
237,9506779,HK,Hong Kong,COASTAL PEARL II,Handysize Bulk,163,26,10.2,22562,Scrap Metal,35574,MT
238,9218521,PA,Panama,REGIONAL SHUTTLE,Feeder Container,137,24,9.5,11908,Containers,2052,TEU
239,9648871,MH,Marshall Islands,TRANS TRADER V,General Cargo,144,26,8.6,10684,General Cargo,14900,MT
240,9623277,JP,Japan,BALTIC TRADER,RoRo Cargo,195,30,7.1,23577,Project Cargo,3179,LM
241,9231539,LR,Liberia,NORDIC EXCELLENCE IV,Chemical Tanker,190,31,9.8,22044,Methanol,17634,MT
242,9676458,SA,Saudi Arabia,ATLANTIC TRADER III,Handymax Bulk,173,29,11.3,33996,Logs,41094,MT
243,9636392,GB,United Kingdom,NORDIC QUEEN,Aframax,238,42,12.8,73112,Crude Oil,81200,MT
244,9608609,SG,Singapore,FRESH EXPRESS,Reefer,175,26,9.3,12111,Meat,389704,CBF
245,9612312,MH,Marshall Islands,SWIRE SUPPLIER I,Offshore Supply,71,18,6.5,4460,Water,3634,MT
246,9304766,MH,Marshall Islands,HANDY SPIRIT,Handymax Bulk,177,28,11.3,26431,Grain,54919,MT
247,9366186,CN,China,COLOR LINE,Passenger Ferry,215,26,7,49307,Vehicles,2119,PAX
